N1,N2,N3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,target
0.392549015,0.740287478,0.588666506,1,4,4,1,1,1,0,2,2,1,1,2,2,1,1,1,1,0
0.324697419,0.512167123,0.457445777,3,4,1,3,3,1,0,4,2,2,2,2,2,1,1,1,1,0
0.18496134,0.616812722,0.452186783,3,4,3,0,3,0,3,1,4,3,2,2,2,2,1,1,1,0
0.340054773,0.619346218,0.59030327,1,2,1,4,1,0,1,3,4,4,2,1,2,1,1,1,1,0
0.310220475,0.761377613,0.556669447,0,2,1,0,0,2,0,2,4,4,2,1,2,1,1,1,1,0
0.105871219,0.592042732,0.415388719,1,3,1,1,1,4,2,3,4,5,1,1,1,1,1,1,1,0
0.487957955,0.638186119,0.534975346,1,2,1,3,3,0,3,1,2,4,1,2,1,1,1,1,1,0
0.303114193,0.549425047,0.478271952,0,0,4,0,0,0,0,4,5,2,1,2,2,1,1,1,1,0
0.235306872,0.575582501,0.469761305,2,4,0,2,2,1,1,3,3,1,2,1,1,1,1,1,1,0
0.120119234,0.73080984,0.63846497,4,1,0,2,3,4,4,3,1,2,2,1,2,1,1,1,1,0
0.251986192,1,0.469769068,2,1,4,2,3,0,3,5,1,2,1,2,1,2,1,1,1,0
0.401020261,0.732946755,0.631038797,3,3,4,4,4,4,0,5,2,5,1,1,1,2,1,1,1,0
0.213974923,0.651418753,0.559928799,1,3,0,2,2,4,2,1,3,4,2,1,2,2,1,1,1,0
0.314735494,0.565816944,0.463937532,1,4,4,4,1,2,4,4,5,5,2,2,2,1,1,1,1,0
0.385666492,0.609680759,0.552934006,2,4,4,1,3,2,1,1,5,3,1,1,1,1,1,1,1,0
0.225473327,0.637437714,0.413600962,0,4,0,2,2,0,1,5,3,5,2,2,1,1,1,1,1,0
0.274150791,0.584111079,0.522262913,1,2,3,0,0,0,4,2,3,5,2,2,2,1,1,1,1,0
0.283696545,0.8107446,0.451938511,2,4,1,4,3,1,3,2,2,2,1,2,1,1,1,1,1,0
0.323248145,0.576881108,0.434904629,3,0,1,3,2,4,2,3,5,2,2,2,1,1,1,1,1,0
0.189692058,0.81750185,0.442831737,2,2,3,0,3,2,3,4,5,2,1,2,2,2,1,1,1,0
0.445307312,0.727077537,0.467840702,4,0,1,4,3,3,4,3,3,2,2,2,2,2,1,1,1,0
0.342305818,0.652549301,0.366323286,0,3,1,3,2,2,4,3,5,1,1,1,2,1,1,1,1,0
0.279696567,0.601294115,0.480403112,0,1,2,3,1,0,1,5,1,4,2,2,1,1,1,1,1,0
0.304017395,0.697317861,0.53101202,0,2,2,0,1,0,3,3,4,2,1,1,2,1,1,1,1,0
0.375009464,0.835600975,0.580281346,2,2,3,4,3,1,4,3,4,2,1,2,1,2,1,1,1,0
0.197149423,0.551176453,0.500431072,2,2,4,2,2,3,4,1,1,2,1,1,2,2,1,1,1,0
0.248466118,0.613464726,0.505601774,3,2,0,2,0,4,3,1,1,3,2,1,1,2,1,1,1,0
0.38992386,0.622980867,0.646181699,1,0,2,2,0,2,4,5,4,4,1,1,1,1,1,1,1,0
0.20895696,0.61436504,0.619284577,0,4,1,2,1,4,0,3,3,2,2,1,1,2,1,1,1,0
0.225331226,0.659238168,0.448162778,0,1,3,3,3,0,3,4,2,4,1,1,2,1,1,1,1,0
0.558637779,0.662899003,0.516019785,0,0,2,2,2,1,1,4,5,1,2,1,1,2,1,1,1,0
0.508633672,0.634385134,0.654481404,3,4,1,0,4,3,2,3,2,2,2,2,2,2,1,1,1,0
0.224415296,0.695592206,0.602910152,3,4,4,3,0,2,1,4,1,2,1,1,1,1,1,1,1,0
0.29174935,0.629416577,0.425063732,2,0,3,4,3,0,1,5,5,5,1,1,1,1,1,1,1,0
0.236209904,0.651022455,0.526091806,2,2,0,3,3,2,1,1,5,3,1,1,2,2,1,1,1,0
0.249750856,0.603127997,0.624771709,1,4,4,3,3,2,3,1,5,2,1,1,1,1,1,1,1,0
0.244332199,0.604005986,0.503002319,3,4,0,1,3,3,0,4,5,1,1,1,1,1,1,1,1,0
0.303859064,0.707908857,0.535080551,4,3,2,4,4,0,1,3,3,3,2,2,2,2,1,1,1,0
0.364832923,0.6011911,0.692662304,2,3,4,2,1,0,0,3,4,5,2,1,1,1,1,1,1,0
0.119772625,0.711778169,0.608349767,2,3,3,3,1,1,3,4,5,4,1,2,2,2,1,1,1,0
0.414285039,0.586599581,0.67397628,2,1,3,1,0,3,0,1,4,2,2,2,2,1,1,1,1,0
0.225269254,0.717834229,0.724408258,2,4,4,0,2,3,0,5,4,5,1,2,1,1,1,1,1,0
0.308683981,0.730741,0.639669183,4,3,0,0,2,3,0,1,2,5,2,2,2,2,1,1,1,0
0.229926903,0.675661935,0.425850331,2,2,1,3,1,0,0,1,4,2,2,2,1,2,1,1,1,0
0.120540584,0.770155288,0.397956704,4,2,1,3,1,2,2,5,5,2,1,2,2,1,1,1,1,0
0.188881143,0.744503745,0.429371249,2,3,0,0,4,4,1,5,4,5,2,2,1,1,1,1,1,0
0.273739589,0.597510532,0.388486953,3,0,2,0,2,3,0,5,3,1,2,1,1,1,1,1,1,0
0.489027966,0.636133458,0.621419604,3,2,0,1,2,3,2,2,1,2,2,1,2,1,1,1,1,0
0.314177158,0.613952593,0.455970348,2,4,0,4,1,2,0,3,2,2,2,1,1,2,1,1,1,0
0.31125795,0.596726335,0.568280234,4,4,4,1,2,4,2,2,4,5,2,2,1,1,1,1,1,0
0.272956223,0.546765491,0.435907386,3,3,3,2,3,0,2,2,5,4,1,1,1,1,1,1,1,0
0.185885353,0.663038769,0.401292217,0,3,1,3,1,1,0,2,3,5,2,2,2,1,1,1,1,0
0.35966425,0.709532365,0.580326322,1,0,3,3,4,2,2,1,3,2,2,1,1,2,1,1,1,0
0.453828522,0.636575118,0.646797022,1,2,4,2,2,2,4,2,1,4,2,2,1,2,1,1,1,0
0.462400056,0.616992563,0.547425701,1,0,4,0,3,1,2,3,2,1,2,2,1,1,1,1,1,0
0.214917744,0.755431509,0.518372495,2,4,0,2,3,3,3,2,3,4,1,1,2,1,1,1,1,0
0.147649567,0.924543944,0.413580604,1,3,1,4,2,2,0,1,5,3,1,2,1,2,1,1,1,0
0.309630633,0.424843887,0.548974263,2,4,2,1,0,3,3,1,5,3,1,2,1,1,1,1,1,0
0.399856609,0.725030393,0.486690399,2,2,4,3,1,2,1,4,5,1,1,1,1,2,1,1,1,0
0.285990832,0.789061786,0.52496988,3,3,0,4,3,4,0,3,3,4,1,2,1,2,1,1,1,0
0.421564643,0.922277495,0.562708406,1,4,3,4,0,2,0,5,5,5,1,2,2,1,1,1,1,0
0.247584779,0.653617717,0.481320548,0,2,3,1,1,1,2,4,5,4,1,2,2,1,1,1,1,0
0.287906996,0.666780401,0.50250145,1,4,4,0,4,2,4,4,1,1,1,2,2,2,1,1,1,0
0.309456985,0.722432471,0.560819606,0,4,0,0,0,2,4,4,4,2,2,2,2,2,1,1,1,0
0.115693663,0.674378775,0.671271299,2,1,2,4,0,2,2,2,4,5,1,1,1,2,1,1,1,0
0.102764113,0.694466551,0.340576159,2,4,0,4,2,3,4,5,4,2,2,1,2,1,1,1,1,0
0.311221579,0.562893822,0.314326939,3,2,1,3,1,1,2,5,5,3,2,2,2,2,1,1,1,0
0.117812304,0.793725274,0.506062156,1,3,2,3,2,0,4,2,1,3,2,1,2,1,1,1,1,0
0.131643106,0.799681831,0.637402674,1,2,2,1,4,4,2,3,1,5,1,2,2,1,1,1,1,0
0.243903085,0.659314749,0.4788753,2,2,1,3,3,2,2,2,2,5,1,1,1,1,1,1,1,0
0.18852322,0.525599816,0.422231593,3,4,0,3,1,0,4,4,3,5,1,1,2,2,1,1,1,0
0.203515102,0.789072717,0.459042717,0,3,1,1,0,2,2,2,5,3,2,1,2,1,1,1,1,0
0.220196726,0.580781493,0.471296053,3,1,0,0,0,4,2,2,5,5,2,2,1,1,1,1,1,0
0.190098118,0.548193067,0.457734926,2,2,4,1,3,2,1,5,5,2,2,2,1,2,1,1,1,0
0.142095037,0.560969563,0.512006102,1,4,1,2,4,3,0,1,4,5,1,2,2,2,1,1,1,0
0.140289277,0.656690207,0.648512805,2,4,1,1,3,1,1,5,5,1,2,1,2,2,1,1,1,0
0.230475838,0.599795227,0.329996516,0,4,4,4,0,3,4,1,1,4,2,1,1,2,1,1,1,0
0.23733943,0.731914286,0.66570274,3,0,3,0,0,2,2,3,2,2,2,2,2,1,1,1,1,0
0.393692156,0.402621373,0.57996752,3,4,3,4,0,4,1,1,4,2,1,1,1,1,1,1,1,0
0.377575978,0.643242573,0.493825137,2,4,1,2,0,3,4,2,2,3,2,1,1,2,1,1,1,0
0.179314005,0.680634285,0.527134064,2,4,0,2,1,0,4,1,4,4,2,1,1,1,1,1,1,0
0.096460483,0.693820878,0.474673224,4,0,2,2,1,0,2,3,5,2,2,2,2,2,1,1,1,0
0,0.670698065,0.536560528,4,4,4,2,4,4,4,1,3,1,1,2,2,2,1,1,1,0
0.38048124,0.79156456,0.65321003,2,4,4,1,0,3,4,3,4,2,1,2,2,1,1,1,1,0
0.267052578,0.691019606,0.663529749,4,3,1,1,4,4,4,4,2,5,2,2,2,2,1,1,1,0
0.286541056,0.681893245,0.516107024,0,0,0,4,1,3,0,4,4,1,2,1,1,2,1,1,1,0
0.234169422,0.578862203,0.529192942,0,1,2,3,0,2,1,1,3,2,1,1,2,2,1,1,1,0
0.325162516,0.651974327,0.557807889,3,3,2,0,4,0,2,3,1,1,1,1,1,1,1,1,1,0
0.52611956,0.649280856,0.591644088,3,1,3,0,3,3,0,5,3,1,2,1,1,2,1,1,1,0
0.276354097,0.457449937,0.45510396,4,3,0,3,4,2,0,1,5,1,2,2,2,1,1,1,1,0
0.221152233,0.700825433,0.569057978,0,0,2,1,4,2,3,4,2,4,1,1,2,1,1,1,1,0
0.160301638,0.594787446,0.430924198,1,4,1,2,2,4,3,1,4,1,2,2,2,2,1,1,1,0
0.30135147,0.818457214,0.521550991,0,1,2,0,2,4,0,2,1,5,1,1,1,2,1,1,1,0
0.368405663,0.596648428,0.561480182,1,3,1,3,2,2,4,3,4,1,1,1,2,2,1,1,1,0
0.352562573,0.611160588,0.43610957,3,4,2,0,4,3,3,1,5,1,1,2,1,1,1,1,1,0
0.535117642,0.615388161,0.604752074,0,0,2,2,2,0,2,5,3,5,1,1,1,2,1,1,1,0
0.070694913,0.637458538,0.667656055,4,4,1,2,0,1,1,4,4,1,1,1,1,2,1,1,1,0
0.339743042,0.725280674,0.481823831,3,4,1,2,2,1,1,2,1,4,2,2,1,1,1,1,1,0
0.321635236,0.651580666,0.628990771,4,0,3,3,0,4,1,1,2,4,1,1,2,2,1,1,1,0
0.24075962,0.711485396,0.422388288,1,2,3,2,4,0,1,1,3,1,2,1,2,1,1,1,1,0
0.265749299,0.740060888,0.479021754,0,2,2,2,2,0,0,4,4,1,2,1,1,1,1,1,1,0
0.28961901,0.490219445,0.520771627,3,0,4,0,2,3,1,3,4,1,1,2,1,1,1,1,1,0
0.323279291,0.699147084,0.494263256,1,0,3,2,1,0,4,2,2,4,2,1,2,2,1,1,1,0
0.2465105,0.705437731,0.560660449,0,0,3,1,1,0,2,2,4,4,2,1,1,1,1,1,1,0
0.302134599,0.594161255,0.538615021,4,3,2,2,4,1,2,5,2,1,2,2,2,1,1,1,1,0
0.421789839,0.644660764,0.494283086,3,1,4,3,0,4,4,2,4,4,1,2,2,2,1,1,1,0
