C1,C2,C3,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,target
0,2,0,0.511359128,0.605380014,0.66465643,0.734068024,0.515520302,0.506193803,0.451651303,0.511359128,0.605380014,0.66465643,0.734068024,0.515520302,0.506193803,0.451651303,0.734068024,0.515520302,0.506193803,0
0,2,0,0.685248299,0.377108046,0.564260556,0.372097387,0.526812646,0.456612665,0.466019021,0.685248299,0.377108046,0.564260556,0.372097387,0.526812646,0.456612665,0.466019021,0.372097387,0.526812646,0.456612665,0
0,2,0,0.297898918,0.421201107,0.407364496,0.377125628,0.277626242,0.249673406,0.533756375,0.297898918,0.421201107,0.407364496,0.377125628,0.277626242,0.249673406,0.533756375,0.377125628,0.277626242,0.249673406,0
0,2,1,0.574434563,0.753990052,0.59610702,0.067877327,0.582154132,0.355590526,0.593878811,0.574434563,0.753990052,0.59610702,0.067877327,0.582154132,0.355590526,0.593878811,0.067877327,0.582154132,0.355590526,0
0,2,0,0.401012496,0.444083146,0.835293406,0.355296501,0.397782866,0.541019237,0.684238069,0.401012496,0.444083146,0.835293406,0.355296501,0.397782866,0.541019237,0.684238069,0.355296501,0.397782866,0.541019237,0
1,2,0,0.409615694,0.416739529,0.613737829,0.619172413,0.349833144,0.575461839,0.346907262,0.409615694,0.416739529,0.613737829,0.619172413,0.349833144,0.575461839,0.346907262,0.619172413,0.349833144,0.575461839,0
0,4,0,0.281200617,0.437190411,0.456202734,0.547374305,0.512660856,0.411080435,0.319445104,0.281200617,0.437190411,0.456202734,0.547374305,0.512660856,0.411080435,0.319445104,0.547374305,0.512660856,0.411080435,0
0,1,0,0.472134462,0.802349257,0.633934587,0.377446321,0.840464931,0.616935734,0.477224872,0.472134462,0.802349257,0.633934587,0.377446321,0.840464931,0.616935734,0.477224872,0.377446321,0.840464931,0.616935734,0
0,2,0,0.686533184,0.545357782,0.086942733,0.404668168,0.62793933,0.252590634,0.464882147,0.686533184,0.545357782,0.086942733,0.404668168,0.62793933,0.252590634,0.464882147,0.404668168,0.62793933,0.252590634,0
0,2,0,0.652423103,0.657930388,0.728986514,0.604018222,0.433420688,0.442745802,0.468602856,0.652423103,0.657930388,0.728986514,0.604018222,0.433420688,0.442745802,0.468602856,0.604018222,0.433420688,0.442745802,0
0,2,0,0.222537137,0.658275776,0.410255843,0.474815809,0.269674487,0.5031404,0.441431454,0.222537137,0.658275776,0.410255843,0.474815809,0.269674487,0.5031404,0.441431454,0.474815809,0.269674487,0.5031404,0
0,2,3,0.402040885,0.520686684,0.17841152,0.51620003,0.537224428,0.48020997,0.684778764,0.402040885,0.520686684,0.17841152,0.51620003,0.537224428,0.48020997,0.684778764,0.51620003,0.537224428,0.48020997,0
0,1,0,0.351784786,0.439263774,0.19681486,0.339950708,0.66395296,0.567347308,0.520971698,0.351784786,0.439263774,0.19681486,0.339950708,0.66395296,0.567347308,0.520971698,0.339950708,0.66395296,0.567347308,0
0,2,0,0.545043899,0.545749437,0.872310124,0.375836925,0.652357316,0.461052419,0.537047563,0.545043899,0.545749437,0.872310124,0.375836925,0.652357316,0.461052419,0.537047563,0.375836925,0.652357316,0.461052419,0
0,2,2,0.365195326,0.475673004,0.697493815,0.820659001,0.482493509,0.414200526,0.487837786,0.365195326,0.475673004,0.697493815,0.820659001,0.482493509,0.414200526,0.487837786,0.820659001,0.482493509,0.414200526,0
0,3,0,0.609692387,0.479923336,0.595288825,0.846458915,0.200892475,0.570748335,0.658562783,0.609692387,0.479923336,0.595288825,0.846458915,0.200892475,0.570748335,0.658562783,0.846458915,0.200892475,0.570748335,0
0,2,1,0.397824788,0.588672405,0.316202519,0.49439297,0.341665257,0.402117383,0.549742572,0.397824788,0.588672405,0.316202519,0.49439297,0.341665257,0.402117383,0.549742572,0.49439297,0.341665257,0.402117383,0
0,2,0,0.383737434,0.455611318,0.618893353,0.65297794,0.442610471,0.602354686,0.593134631,0.383737434,0.455611318,0.618893353,0.65297794,0.442610471,0.602354686,0.593134631,0.65297794,0.442610471,0.602354686,0
0,0,0,0.719986146,0.427666354,0.496234704,0.493966594,0.448624367,0.389779199,0.848553093,0.719986146,0.427666354,0.496234704,0.493966594,0.448624367,0.389779199,0.848553093,0.493966594,0.448624367,0.389779199,0
0,5,2,0.605396589,0.514117811,0.297493547,0.393393103,0.633285565,0.512301789,0.519042582,0.605396589,0.514117811,0.297493547,0.393393103,0.633285565,0.512301789,0.519042582,0.393393103,0.633285565,0.512301789,0
0,2,0,0.492145578,0.592278101,0.209299068,0.642018402,0.250541004,0.683705571,0.838424295,0.492145578,0.592278101,0.209299068,0.642018402,0.250541004,0.683705571,0.838424295,0.642018402,0.250541004,0.683705571,0
0,3,4,0.566297236,0.672063092,0.516070276,0.853165456,0.722683041,0.695666877,0.520742397,0.566297236,0.672063092,0.516070276,0.853165456,0.722683041,0.695666877,0.520742397,0.853165456,0.722683041,0.695666877,0
1,2,0,0.075695305,0.432888246,0.555090391,0.372352096,0.186003813,0.433923509,0.643116951,0.075695305,0.432888246,0.555090391,0.372352096,0.186003813,0.433923509,0.643116951,0.372352096,0.186003813,0.433923509,0
0,1,0,0.250516115,0.510134143,0.436579537,0.656915688,0.375364317,0.643568254,0.759005277,0.250516115,0.510134143,0.436579537,0.656915688,0.375364317,0.643568254,0.759005277,0.656915688,0.375364317,0.643568254,0
0,2,0,0.312731667,0.284275091,0.394503558,0.689455331,0.573092667,0.498327568,0.622491635,0.312731667,0.284275091,0.394503558,0.689455331,0.573092667,0.498327568,0.622491635,0.689455331,0.573092667,0.498327568,0
0,2,0,0.364772385,0.706516365,0.484046577,0.687620728,0.208938533,0.497305151,0.635255596,0.364772385,0.706516365,0.484046577,0.687620728,0.208938533,0.497305151,0.635255596,0.687620728,0.208938533,0.497305151,0
0,2,0,0.475605986,0.53568705,0.573916431,0.170668428,0.533415905,0.37301682,0.716038834,0.475605986,0.53568705,0.573916431,0.170668428,0.533415905,0.37301682,0.716038834,0.170668428,0.533415905,0.37301682,0
0,3,3,0.671623235,0.329989067,0.642883046,0.49262296,0.480873558,0.753318962,0.42294919,0.671623235,0.329989067,0.642883046,0.49262296,0.480873558,0.753318962,0.42294919,0.49262296,0.480873558,0.753318962,0
0,2,0,0.600622791,0.278882594,0.529750437,0.48124662,0.623045753,0.472076017,0.299961259,0.600622791,0.278882594,0.529750437,0.48124662,0.623045753,0.472076017,0.299961259,0.48124662,0.623045753,0.472076017,0
0,2,0,0.536230907,0.531078202,0.498401567,0.824073858,0.497132572,0.521023359,0.247873366,0.536230907,0.531078202,0.498401567,0.824073858,0.497132572,0.521023359,0.247873366,0.824073858,0.497132572,0.521023359,0
0,0,0,0.409201504,0.360586131,0.551600383,0.314877512,0.654156279,0.453600835,0.597963791,0.409201504,0.360586131,0.551600383,0.314877512,0.654156279,0.453600835,0.597963791,0.314877512,0.654156279,0.453600835,0
1,2,1,0.606854796,0.577125535,0.199901984,0.084387461,0.23677174,0.719090407,0.352732862,0.606854796,0.577125535,0.199901984,0.084387461,0.23677174,0.719090407,0.352732862,0.084387461,0.23677174,0.719090407,0
3,2,1,0.598200364,0.6278613,0.589003317,0.33405376,0.58961857,0.74183093,0.4858449,0.598200364,0.6278613,0.589003317,0.33405376,0.58961857,0.74183093,0.4858449,0.33405376,0.58961857,0.74183093,0
0,2,0,0.627041126,0.691252683,0.397738311,0.554333445,0.315023213,0.410348083,0.586509252,0.627041126,0.691252683,0.397738311,0.554333445,0.315023213,0.410348083,0.586509252,0.554333445,0.315023213,0.410348083,0
0,3,0,0.457981657,0.437847584,0.201535156,0.888734218,0.378720177,0.451111551,0.545695968,0.457981657,0.437847584,0.201535156,0.888734218,0.378720177,0.451111551,0.545695968,0.888734218,0.378720177,0.451111551,0
0,2,0,0.466250217,0.371632969,0.406280094,0.362924532,0.640184135,0.214805744,0.599433807,0.466250217,0.371632969,0.406280094,0.362924532,0.640184135,0.214805744,0.599433807,0.362924532,0.640184135,0.214805744,0
0,5,1,1,0.734298406,0.364505957,0.324628221,0.336173111,0.683333763,0.599046099,1,0.734298406,0.364505957,0.324628221,0.336173111,0.683333763,0.599046099,0.324628221,0.336173111,0.683333763,0
0,2,3,0.480135849,0.42913533,0.599847305,0.318479685,0.422239614,0.595939016,0.337677441,0.480135849,0.42913533,0.599847305,0.318479685,0.422239614,0.595939016,0.337677441,0.318479685,0.422239614,0.595939016,0
3,2,2,0.520791221,0.465230754,0.443734146,0.534466337,0.464393682,0.240164405,0.713999578,0.520791221,0.465230754,0.443734146,0.534466337,0.464393682,0.240164405,0.713999578,0.534466337,0.464393682,0.240164405,0
0,2,0,0.987684389,0.535183106,0.750781356,0.826631016,0.323831308,0.350189971,0.623748059,0.987684389,0.535183106,0.750781356,0.826631016,0.323831308,0.350189971,0.623748059,0.826631016,0.323831308,0.350189971,0
2,2,0,0.727574845,0.417135044,0.362527033,0.718795326,0.497312694,0.601502662,0.563739716,0.727574845,0.417135044,0.362527033,0.718795326,0.497312694,0.601502662,0.563739716,0.718795326,0.497312694,0.601502662,0
1,2,0,0.628710356,0.501859257,0.397294759,0.492194417,0.537113687,0.660099322,0.61975208,0.628710356,0.501859257,0.397294759,0.492194417,0.537113687,0.660099322,0.61975208,0.492194417,0.537113687,0.660099322,0
0,2,0,0.658503517,0.584640335,0.543309716,0.583290385,0.487300116,0.700332559,0.320869912,0.658503517,0.584640335,0.543309716,0.583290385,0.487300116,0.700332559,0.320869912,0.583290385,0.487300116,0.700332559,0
0,5,0,0.861012553,0.445170933,0.633433123,0.642979859,0.315680738,0.565666419,0.42070822,0.861012553,0.445170933,0.633433123,0.642979859,0.315680738,0.565666419,0.42070822,0.642979859,0.315680738,0.565666419,0
0,2,0,0.427377796,0.714642947,0.557907847,0.327196602,0.482606595,0.451351596,0.654178444,0.427377796,0.714642947,0.557907847,0.327196602,0.482606595,0.451351596,0.654178444,0.327196602,0.482606595,0.451351596,0
0,2,0,0.535658638,0.496763323,0.534697152,0.730817015,0.417921144,0.515510167,0.5067152,0.535658638,0.496763323,0.534697152,0.730817015,0.417921144,0.515510167,0.5067152,0.730817015,0.417921144,0.515510167,0
0,2,0,0.45350412,0.506123423,0.610370446,0.710437622,0.446304721,0.430089442,0.41675662,0.45350412,0.506123423,0.610370446,0.710437622,0.446304721,0.430089442,0.41675662,0.710437622,0.446304721,0.430089442,0
0,5,0,0.527217625,0.553280812,0.661020684,0.527220966,0.615274607,0.325812773,0.650580978,0.527217625,0.553280812,0.661020684,0.527220966,0.615274607,0.325812773,0.650580978,0.527220966,0.615274607,0.325812773,0
0,2,0,0.548743767,0.33238302,0.403219949,0.596056315,0.801204061,0.660792545,0.320661357,0.548743767,0.33238302,0.403219949,0.596056315,0.801204061,0.660792545,0.320661357,0.596056315,0.801204061,0.660792545,0
0,3,0,0.431762156,0.481062233,0.554918121,0.471112354,0.668829944,0.744219827,0.44047698,0.431762156,0.481062233,0.554918121,0.471112354,0.668829944,0.744219827,0.44047698,0.471112354,0.668829944,0.744219827,0
1,2,0,0.328763046,0.415475399,0.611155867,0.506611095,0.323527347,0.420410639,0.420277741,0.328763046,0.415475399,0.611155867,0.506611095,0.323527347,0.420410639,0.420277741,0.506611095,0.323527347,0.420410639,0
0,2,0,0.476665647,0.634782704,0.095292054,0.340216099,0.147764271,0.383599967,0.192806449,0.476665647,0.634782704,0.095292054,0.340216099,0.147764271,0.383599967,0.192806449,0.340216099,0.147764271,0.383599967,0
2,2,0,0.664644048,0.269270951,0.322787456,0.4693756,0.597599696,0.506760775,0.565502585,0.664644048,0.269270951,0.322787456,0.4693756,0.597599696,0.506760775,0.565502585,0.4693756,0.597599696,0.506760775,0
3,2,0,0.460547983,0.518296827,0.485860901,0.375122073,0.497883146,0.404257553,0.644242504,0.460547983,0.518296827,0.485860901,0.375122073,0.497883146,0.404257553,0.644242504,0.375122073,0.497883146,0.404257553,0
1,2,0,0.786876047,0.508092922,0.390587775,0.725784736,0.597802367,0.464769247,0.6312445,0.786876047,0.508092922,0.390587775,0.725784736,0.597802367,0.464769247,0.6312445,0.725784736,0.597802367,0.464769247,0
0,2,0,0.409597491,0.55261117,0.1800551,0.414342499,0.350830486,0.217898964,0.552169634,0.409597491,0.55261117,0.1800551,0.414342499,0.350830486,0.217898964,0.552169634,0.414342499,0.350830486,0.217898964,0
2,2,0,0.602446167,0.587804319,0.397228316,0.458553176,0.513639985,0.402628388,0.258584097,0.602446167,0.587804319,0.397228316,0.458553176,0.513639985,0.402628388,0.258584097,0.458553176,0.513639985,0.402628388,0
1,2,0,0.192874636,0.471938295,0.588552942,0.914988524,0.457631942,0.530234774,0.706596476,0.192874636,0.471938295,0.588552942,0.914988524,0.457631942,0.530234774,0.706596476,0.914988524,0.457631942,0.530234774,0
0,2,0,0.612218444,0.562983163,0.24157304,0.521918576,0.686842538,0.523487508,0.44838159,0.612218444,0.562983163,0.24157304,0.521918576,0.686842538,0.523487508,0.44838159,0.521918576,0.686842538,0.523487508,0
0,5,0,0.522270512,0.473559019,0.792390171,0.578600188,0.509977765,0.462176663,0.585851435,0.522270512,0.473559019,0.792390171,0.578600188,0.509977765,0.462176663,0.585851435,0.578600188,0.509977765,0.462176663,0
1,2,0,0.637322285,0.386649515,0.867002628,0.309019563,0.371666594,0.687323545,0.594366399,0.637322285,0.386649515,0.867002628,0.309019563,0.371666594,0.687323545,0.594366399,0.309019563,0.371666594,0.687323545,0
0,2,1,0.395111575,0.668074652,0.661563061,0.491905716,0.529005279,0.3940806,0.643339768,0.395111575,0.668074652,0.661563061,0.491905716,0.529005279,0.3940806,0.643339768,0.491905716,0.529005279,0.3940806,0
0,2,0,0.28407833,0.604707816,0.356372254,0.429394179,0.476691109,0.607460785,0.50331272,0.28407833,0.604707816,0.356372254,0.429394179,0.476691109,0.607460785,0.50331272,0.429394179,0.476691109,0.607460785,0
0,2,2,0.433810612,0.563512967,0.37401132,0.729158728,0.369366653,0.425586943,0.538338229,0.433810612,0.563512967,0.37401132,0.729158728,0.369366653,0.425586943,0.538338229,0.729158728,0.369366653,0.425586943,0
0,2,0,0.690772727,0.458381895,0.345461339,0.219734691,0.307047527,0.389017822,0.590459484,0.690772727,0.458381895,0.345461339,0.219734691,0.307047527,0.389017822,0.590459484,0.219734691,0.307047527,0.389017822,0
0,5,1,0.349127545,0.321349136,0.580486346,0.523407119,0.660986737,0.669857618,0.490893931,0.349127545,0.321349136,0.580486346,0.523407119,0.660986737,0.669857618,0.490893931,0.523407119,0.660986737,0.669857618,0
0,5,0,0.568276215,0.274059999,0.349422896,0.552439097,0.11379965,0.120976689,0.694606012,0.568276215,0.274059999,0.349422896,0.552439097,0.11379965,0.120976689,0.694606012,0.552439097,0.11379965,0.120976689,0
0,2,0,0.370913964,0.344274805,0.558513888,0.399091155,0.405205574,0.669536762,0.432045833,0.370913964,0.344274805,0.558513888,0.399091155,0.405205574,0.669536762,0.432045833,0.399091155,0.405205574,0.669536762,0
0,2,0,0.2956661,0.720850978,0.51772139,0.584531631,0.474852938,0.431167477,0.40010604,0.2956661,0.720850978,0.51772139,0.584531631,0.474852938,0.431167477,0.40010604,0.584531631,0.474852938,0.431167477,0
0,2,0,0.188935512,0.524370671,0.692856942,0.431169261,0.431803389,0.48187237,0.501680063,0.188935512,0.524370671,0.692856942,0.431169261,0.431803389,0.48187237,0.501680063,0.431169261,0.431803389,0.48187237,0
0,3,0,0.452697983,0.851795886,0.497683661,0.508236829,0.210511672,0.352016699,0.40852736,0.452697983,0.851795886,0.497683661,0.508236829,0.210511672,0.352016699,0.40852736,0.508236829,0.210511672,0.352016699,0
0,0,0,0.48749205,0.69551364,0.769116805,0.577158784,0.41534865,0.312084793,0.486270444,0.48749205,0.69551364,0.769116805,0.577158784,0.41534865,0.312084793,0.486270444,0.577158784,0.41534865,0.312084793,0
2,3,0,0.271145444,0.503501641,0.803591666,0.364663272,0.53973034,0.357068068,0.84014969,0.271145444,0.503501641,0.803591666,0.364663272,0.53973034,0.357068068,0.84014969,0.364663272,0.53973034,0.357068068,0
0,2,0,0.567735629,0.368241576,0.26561846,0.695664758,0.507987991,0.231642519,0.445269354,0.567735629,0.368241576,0.26561846,0.695664758,0.507987991,0.231642519,0.445269354,0.695664758,0.507987991,0.231642519,0
1,2,0,0.44536838,0.430139698,0.443474205,0.59148111,0.447912083,0.665612893,0.501888256,0.44536838,0.430139698,0.443474205,0.59148111,0.447912083,0.665612893,0.501888256,0.59148111,0.447912083,0.665612893,0
0,1,0,0.405056363,0.515317179,0.452501268,0.461177741,0.315231821,0.649111618,0.614179175,0.405056363,0.515317179,0.452501268,0.461177741,0.315231821,0.649111618,0.614179175,0.461177741,0.315231821,0.649111618,0
1,2,0,0.58594959,0.469597211,0.446935224,0.437182938,0.583549312,0.572458453,0.735691099,0.58594959,0.469597211,0.446935224,0.437182938,0.583549312,0.572458453,0.735691099,0.437182938,0.583549312,0.572458453,0
0,2,0,0.666256173,0.468286957,0.572038698,0.490871394,0.436667684,0.554638923,0.572909173,0.666256173,0.468286957,0.572038698,0.490871394,0.436667684,0.554638923,0.572909173,0.490871394,0.436667684,0.554638923,0
0,2,0,0.213503173,0.365361352,0.619655305,0.666229685,0.538888493,0.374035573,0.703569465,0.213503173,0.365361352,0.619655305,0.666229685,0.538888493,0.374035573,0.703569465,0.666229685,0.538888493,0.374035573,0
0,2,0,0.417808923,0.585393771,0.627872403,0.573251275,0.403520707,0.636249775,0.575266126,0.417808923,0.585393771,0.627872403,0.573251275,0.403520707,0.636249775,0.575266126,0.573251275,0.403520707,0.636249775,0
0,2,0,0.242738674,0.415645846,0.79011048,0.341651563,0.662028798,0.691914197,0.765811267,0.242738674,0.415645846,0.79011048,0.341651563,0.662028798,0.691914197,0.765811267,0.341651563,0.662028798,0.691914197,0
1,2,0,0.547668578,0.552513342,0.468920349,0.571991241,0.372134933,0.547243861,0.383074217,0.547668578,0.552513342,0.468920349,0.571991241,0.372134933,0.547243861,0.383074217,0.571991241,0.372134933,0.547243861,0
0,2,0,0.650279193,0.848099578,0.462476196,0.55963085,0.302316696,0.266449772,0.652727997,0.650279193,0.848099578,0.462476196,0.55963085,0.302316696,0.266449772,0.652727997,0.55963085,0.302316696,0.266449772,0
2,2,0,0.214200082,0.543538142,0.394122329,0.373372376,0.387638644,0.603807338,0.697491949,0.214200082,0.543538142,0.394122329,0.373372376,0.387638644,0.603807338,0.697491949,0.373372376,0.387638644,0.603807338,0
0,2,0,0.332258406,0.544715071,0.399121146,0.660691011,0.11421028,0.479519288,0.440535482,0.332258406,0.544715071,0.399121146,0.660691011,0.11421028,0.479519288,0.440535482,0.660691011,0.11421028,0.479519288,0
2,2,0,0.762899148,0.306988975,0.434858749,0.564044443,0.492871978,0.37176777,0.628555703,0.762899148,0.306988975,0.434858749,0.564044443,0.492871978,0.37176777,0.628555703,0.564044443,0.492871978,0.37176777,0
0,2,0,0.406895706,0.508125446,0.357390354,0.64117725,0.504620506,0.584575146,0.402974815,0.406895706,0.508125446,0.357390354,0.64117725,0.504620506,0.584575146,0.402974815,0.64117725,0.504620506,0.584575146,0
1,2,0,0.353608071,0.631667612,0.590767026,0.630140316,0.259525111,0.54310121,0.632930739,0.353608071,0.631667612,0.590767026,0.630140316,0.259525111,0.54310121,0.632930739,0.630140316,0.259525111,0.54310121,0
0,2,3,0.742281246,0.426106345,0.47991812,0.721125943,0.380678341,0.698011736,0.850987598,0.742281246,0.426106345,0.47991812,0.721125943,0.380678341,0.698011736,0.850987598,0.721125943,0.380678341,0.698011736,0
0,2,0,0.532528543,0.751508767,0.481398716,0.270376468,0.418485789,0.448657475,0.410040624,0.532528543,0.751508767,0.481398716,0.270376468,0.418485789,0.448657475,0.410040624,0.270376468,0.418485789,0.448657475,0
