N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,target
0.425930535,0.592867857,0.437551201,0.719986146,0.427666354,0.496234704,0.493966594,0.448624367,0.389779199,0.848553093,0,0,0,3,2,2,0,0,4,0,0
0.171043039,0.688838803,0.501172301,0.605396589,0.514117811,0.297493547,0.393393103,0.633285565,0.512301789,0.519042582,0,5,2,4,2,4,3,4,3,2,0
0.363394268,0.634644646,0.37956349,0.492145578,0.592278101,0.209299068,0.642018402,0.250541004,0.683705571,0.838424295,0,2,0,2,1,4,2,4,4,0,0
0.130446892,0.616402944,0.607549758,0.566297236,0.672063092,0.516070276,0.853165456,0.722683041,0.695666877,0.520742397,0,3,4,3,3,2,3,4,3,4,0
0.251444469,0.918315171,0.543792125,0.075695305,0.432888246,0.555090391,0.372352096,0.186003813,0.433923509,0.643116951,1,2,0,2,1,3,0,1,4,0,0
0.319621491,0.653067174,0.338091061,0.250516115,0.510134143,0.436579537,0.656915688,0.375364317,0.643568254,0.759005277,0,1,0,1,0,1,1,4,4,0,0
0.380744581,0.567830607,0.425790764,0.312731667,0.284275091,0.394503558,0.689455331,0.573092667,0.498327568,0.622491635,0,2,0,1,3,2,2,0,0,3,0
0.319231254,0.705694717,0.566292282,0.364772385,0.706516365,0.484046577,0.687620728,0.208938533,0.497305151,0.635255596,0,2,0,3,3,0,0,2,1,0,0
0.345486946,0.770721781,0.370068134,0.475605986,0.53568705,0.573916431,0.170668428,0.533415905,0.37301682,0.716038834,0,2,0,2,3,2,2,0,1,4,0
0.308446634,0.775253548,0.587049644,0.671623235,0.329989067,0.642883046,0.49262296,0.480873558,0.753318962,0.42294919,0,3,3,3,4,3,0,0,1,4,0
0.376080193,0.591320951,0.543866908,0.600622791,0.278882594,0.529750437,0.48124662,0.623045753,0.472076017,0.299961259,0,2,0,3,2,3,4,3,3,2,0
0.496263014,0.810754013,0.319660885,0.536230907,0.531078202,0.498401567,0.824073858,0.497132572,0.521023359,0.247873366,0,2,0,3,1,1,4,4,3,3,0
0.234114225,0.63278913,0.632268054,0.409201504,0.360586131,0.551600383,0.314877512,0.654156279,0.453600835,0.597963791,0,0,0,0,3,3,4,2,2,2,0
0.240334012,0.724589902,0.48664245,0.606854796,0.577125535,0.199901984,0.084387461,0.23677174,0.719090407,0.352732862,1,2,1,4,3,4,4,3,1,3,0
0.255944604,0.747453516,0.480227066,0.598200364,0.6278613,0.589003317,0.33405376,0.58961857,0.74183093,0.4858449,3,2,1,0,1,1,4,4,2,2,0
0.262935563,0.687440584,0.552190874,0.627041126,0.691252683,0.397738311,0.554333445,0.315023213,0.410348083,0.586509252,0,2,0,3,2,0,4,2,2,2,0
0.421837237,0.553583151,0.642066115,0.457981657,0.437847584,0.201535156,0.888734218,0.378720177,0.451111551,0.545695968,0,3,0,4,2,4,2,2,3,3,0
0.3062703,0.709117335,0.650948163,0.466250217,0.371632969,0.406280094,0.362924532,0.640184135,0.214805744,0.599433807,0,2,0,2,2,1,1,1,1,1,0
0.300990136,0.779500992,0.512428364,1,0.734298406,0.364505957,0.324628221,0.336173111,0.683333763,0.599046099,0,5,1,0,2,0,0,3,1,3,0
0.133761283,0.699768577,0.510822037,0.480135849,0.42913533,0.599847305,0.318479685,0.422239614,0.595939016,0.337677441,0,2,3,3,2,2,1,3,2,3,0
0.316076718,0.568399526,0.500416477,0.520791221,0.465230754,0.443734146,0.534466337,0.464393682,0.240164405,0.713999578,3,2,2,1,0,4,3,1,1,1,0
0.205631974,0.687319338,0.536709028,0.987684389,0.535183106,0.750781356,0.826631016,0.323831308,0.350189971,0.623748059,0,2,0,0,1,2,2,2,4,4,0
0.348760527,0.736420397,0.465450683,0.727574845,0.417135044,0.362527033,0.718795326,0.497312694,0.601502662,0.563739716,2,2,0,3,3,2,1,1,2,3,0
0.299520913,0.785384425,0.675189808,0.628710356,0.501859257,0.397294759,0.492194417,0.537113687,0.660099322,0.61975208,1,2,0,0,3,3,2,0,0,0,0
0.328933485,0.814076261,0.460739177,0.658503517,0.584640335,0.543309716,0.583290385,0.487300116,0.700332559,0.320869912,0,2,0,0,0,4,1,1,1,0,0
0.095872096,0.66492467,0.360513013,0.861012553,0.445170933,0.633433123,0.642979859,0.315680738,0.565666419,0.42070822,0,5,0,4,3,2,2,0,0,0,0
0.410232202,0.613928067,0.31253905,0.427377796,0.714642947,0.557907847,0.327196602,0.482606595,0.451351596,0.654178444,0,2,0,4,1,1,0,4,4,1,0
0.162857603,0.769140474,0.611276742,0.535658638,0.496763323,0.534697152,0.730817015,0.417921144,0.515510167,0.5067152,0,2,0,1,1,4,0,1,0,0,0
0.258050218,0.730760715,0.559209082,0.45350412,0.506123423,0.610370446,0.710437622,0.446304721,0.430089442,0.41675662,0,2,0,4,1,0,2,1,4,1,0
0.252781515,0.587807413,0.680189572,0.527217625,0.553280812,0.661020684,0.527220966,0.615274607,0.325812773,0.650580978,0,5,0,3,1,4,4,4,0,4,0
0.33361654,0.629928914,0.38453527,0.548743767,0.33238302,0.403219949,0.596056315,0.801204061,0.660792545,0.320661357,0,2,0,4,2,4,4,0,1,3,0
0.321052248,0.58023971,0.67313737,0.431762156,0.481062233,0.554918121,0.471112354,0.668829944,0.744219827,0.44047698,0,3,0,2,0,3,2,0,0,1,0
0.244159457,0.586643068,0.656019319,0.328763046,0.415475399,0.611155867,0.506611095,0.323527347,0.420410639,0.420277741,1,2,0,0,2,1,4,0,2,1,0
0.283909879,0.856052055,0.563808894,0.476665647,0.634782704,0.095292054,0.340216099,0.147764271,0.383599967,0.192806449,0,2,0,3,3,2,4,4,1,0,0
0.373307012,0.720480752,0.419582247,0.664644048,0.269270951,0.322787456,0.4693756,0.597599696,0.506760775,0.565502585,2,2,0,1,0,2,0,4,0,0,0
0.293613529,0.834426873,0.52045223,0.460547983,0.518296827,0.485860901,0.375122073,0.497883146,0.404257553,0.644242504,3,2,0,1,4,3,2,3,0,0,0
0.175801404,0.631664258,0.64666539,0.786876047,0.508092922,0.390587775,0.725784736,0.597802367,0.464769247,0.6312445,1,2,0,3,4,2,0,4,0,1,0
0.380385663,0.770682981,0.640796547,0.409597491,0.55261117,0.1800551,0.414342499,0.350830486,0.217898964,0.552169634,0,2,0,3,4,4,4,0,1,1,0
0.242876633,0.595655509,0.243770327,0.602446167,0.587804319,0.397228316,0.458553176,0.513639985,0.402628388,0.258584097,2,2,0,0,1,0,3,4,3,4,0
0.368238663,0.647340243,0.557802569,0.192874636,0.471938295,0.588552942,0.914988524,0.457631942,0.530234774,0.706596476,1,2,0,2,2,0,1,2,0,1,0
0.078009536,0.575580197,0.568431646,0.612218444,0.562983163,0.24157304,0.521918576,0.686842538,0.523487508,0.44838159,0,2,0,2,1,4,4,2,0,4,0
0.403905374,0.771941399,0.631398297,0.522270512,0.473559019,0.792390171,0.578600188,0.509977765,0.462176663,0.585851435,0,5,0,1,4,4,2,0,3,1,0
0.236248221,0.380666182,0.509744568,0.637322285,0.386649515,0.867002628,0.309019563,0.371666594,0.687323545,0.594366399,1,2,0,1,0,2,2,0,3,1,0
0.101346821,0.73195568,0.575327789,0.395111575,0.668074652,0.661563061,0.491905716,0.529005279,0.3940806,0.643339768,0,2,1,1,3,3,1,1,0,4,0
0.244308902,0.790139739,0.551380752,0.28407833,0.604707816,0.356372254,0.429394179,0.476691109,0.607460785,0.50331272,0,2,0,4,1,3,3,1,4,4,0
0.247064512,0.670717031,0.481738667,0.433810612,0.563512967,0.37401132,0.729158728,0.369366653,0.425586943,0.538338229,0,2,2,0,1,0,2,0,1,4,0
0.285094526,0.76041802,0.48749383,0.690772727,0.458381895,0.345461339,0.219734691,0.307047527,0.389017822,0.590459484,0,2,0,2,3,4,2,2,1,3,0
0.196687844,0.740235503,0.454206816,0.349127545,0.321349136,0.580486346,0.523407119,0.660986737,0.669857618,0.490893931,0,5,1,3,1,3,0,4,3,1,0
0.128039724,0.736796557,0.607349733,0.568276215,0.274059999,0.349422896,0.552439097,0.11379965,0.120976689,0.694606012,0,5,0,2,4,3,4,4,1,2,0
0.35311924,0.571602432,0.439065871,0.370913964,0.344274805,0.558513888,0.399091155,0.405205574,0.669536762,0.432045833,0,2,0,4,0,4,0,1,4,4,0
0.160931245,0.643092894,0.548941182,0.2956661,0.720850978,0.51772139,0.584531631,0.474852938,0.431167477,0.40010604,0,2,0,1,4,1,1,3,1,1,0
0.260625669,0.79119378,0.615490267,0.188935512,0.524370671,0.692856942,0.431169261,0.431803389,0.48187237,0.501680063,0,2,0,4,3,2,4,0,4,2,0
0.576468387,0.797632527,0.406301051,0.452697983,0.851795886,0.497683661,0.508236829,0.210511672,0.352016699,0.40852736,0,3,0,4,1,1,4,3,2,3,0
0.259398176,0.65220398,0.73587035,0.48749205,0.69551364,0.769116805,0.577158784,0.41534865,0.312084793,0.486270444,0,0,0,4,3,2,4,4,0,1,0
0.224785367,0.726149016,0.753289887,0.271145444,0.503501641,0.803591666,0.364663272,0.53973034,0.357068068,0.84014969,2,3,0,2,3,1,1,4,0,2,0
0.258869179,0.904020556,0.357916327,0.567735629,0.368241576,0.26561846,0.695664758,0.507987991,0.231642519,0.445269354,0,2,0,1,3,1,2,1,1,4,0
0.304438013,0.718326939,0.554071071,0.44536838,0.430139698,0.443474205,0.59148111,0.447912083,0.665612893,0.501888256,1,2,0,4,4,4,2,4,4,1,0
0.09640603,0.624289797,0.583506716,0.405056363,0.515317179,0.452501268,0.461177741,0.315231821,0.649111618,0.614179175,0,1,0,0,0,4,1,4,3,2,0
0.21785469,0.745227296,0.626600159,0.58594959,0.469597211,0.446935224,0.437182938,0.583549312,0.572458453,0.735691099,1,2,0,3,1,4,3,3,1,0,0
0.152688508,0.796407326,0.652416181,0.666256173,0.468286957,0.572038698,0.490871394,0.436667684,0.554638923,0.572909173,0,2,0,1,0,1,0,1,2,1,0
0.365440209,0.630272789,0.655403513,0.213503173,0.365361352,0.619655305,0.666229685,0.538888493,0.374035573,0.703569465,0,2,0,0,1,3,2,1,3,3,0
0.357962769,0.597729105,0.464937296,0.417808923,0.585393771,0.627872403,0.573251275,0.403520707,0.636249775,0.575266126,0,2,0,0,0,3,2,1,3,2,0
0.279192199,0.759116297,0.656236213,0.242738674,0.415645846,0.79011048,0.341651563,0.662028798,0.691914197,0.765811267,0,2,0,3,3,2,1,0,2,2,0
0.275850471,0.453590031,0.322963445,0.547668578,0.552513342,0.468920349,0.571991241,0.372134933,0.547243861,0.383074217,1,2,0,2,4,4,3,2,1,1,0
0.318970826,0.767344292,0.428974201,0.650279193,0.848099578,0.462476196,0.55963085,0.302316696,0.266449772,0.652727997,0,2,0,0,2,1,4,2,1,3,0
0.334282121,0.744543537,0.532347073,0.214200082,0.543538142,0.394122329,0.373372376,0.387638644,0.603807338,0.697491949,2,2,0,3,4,3,1,4,1,0,0
0.304204551,0.674750384,0.503232867,0.332258406,0.544715071,0.399121146,0.660691011,0.11421028,0.479519288,0.440535482,0,2,0,0,0,1,4,2,4,0,0
0.327968069,0.665195944,0.60427578,0.762899148,0.306988975,0.434858749,0.564044443,0.492871978,0.37176777,0.628555703,2,2,0,0,1,3,0,0,4,1,0
0.408464353,0.717800738,0.521038881,0.406895706,0.508125446,0.357390354,0.64117725,0.504620506,0.584575146,0.402974815,0,2,0,0,1,3,1,1,1,1,0
0.31035922,0.559906531,0.68180447,0.353608071,0.631667612,0.590767026,0.630140316,0.259525111,0.54310121,0.632930739,1,2,0,4,0,1,0,0,4,4,0
0.172332741,0.43150443,0.522109288,0.742281246,0.426106345,0.47991812,0.721125943,0.380678341,0.698011736,0.850987598,0,2,3,1,4,4,3,4,0,3,0
0.232631902,0.616441875,0.484025563,0.532528543,0.751508767,0.481398716,0.270376468,0.418485789,0.448657475,0.410040624,0,2,0,3,1,1,2,2,3,3,0
0.470553605,0.672825263,0.51393807,0.637056547,0.541326313,0.206669561,0.631144934,0.45541226,0.388461876,0.481997017,0,2,0,4,1,4,1,1,3,4,0
0.237245315,0.389352757,0.458091483,0.597599628,0.518056599,0.692853052,0.921400246,0.345467288,0.425913162,0.395940432,0,2,1,4,2,2,2,1,2,0,0
0.411682438,0.644992673,0.476053131,0.421494643,0.504140322,0.460551892,0.561683761,0.608801633,0.246845584,0.461612666,0,2,4,3,2,4,2,2,4,3,0
0.133268887,0.534015489,0.475064782,0.480525429,0.319998073,0.26449454,0.491527722,0.41405394,0.620444963,0.663715234,0,2,0,4,4,0,2,4,0,2,0
0.283617651,0.698510139,0.443033696,0.243784803,0.363962614,0.419995628,0.214144573,0.508074187,0.419820358,0.601500346,0,2,2,0,3,2,0,4,4,0,0
0.142045219,0.555361184,0.557301183,0.599025143,0.361024,0.508036828,0.332970855,0.477882815,0.296157609,0.47429691,0,2,4,0,4,2,1,3,3,2,0
0.14999765,0.89587711,0.506355323,0.776757395,0.582550465,0.434095573,0.736574896,0.479941396,0.630146739,0.497361687,0,2,0,4,2,3,4,2,4,1,0
0.174643925,0.768613376,0.408430706,0.532663264,0.452374737,0.597322018,0.666175802,0.457324631,0.319818231,0.785406067,2,2,0,1,0,3,3,1,4,1,0
0.110557656,0.57160664,0.599145475,0.328708436,0.649784744,0.357447468,0.706840192,0.299813661,0.498894748,0.481260566,0,2,0,4,1,1,1,2,3,4,0
0.185415203,0.66267648,0.629337023,0.245083325,0.485426965,0.193720472,0.466629384,0.409061926,0.58040953,0.63667341,1,2,0,3,1,3,3,1,0,0,0
0.291425125,0.56677816,0.590751795,0.607724908,0.414991643,0.34662099,0.704863363,0.586243196,0.647704362,0.365673191,0,2,0,2,1,0,0,3,2,4,0
0.203792857,0.551037437,0.594538883,0.60017457,0.440725675,0.521479513,0.670679982,0.527992435,0.408178093,0.358888964,0,2,0,4,1,0,0,2,0,3,0
0.405054453,0.654839385,0.445556658,0.483528425,0.487650116,0.420972241,0.591212785,0.424795043,0.63529708,0.428957252,0,2,4,0,0,4,3,1,1,4,0
0.381724807,0.776814455,0.586828684,0.600748998,0.36927117,0.517429634,0.421414806,0.65046815,0.613283963,0.53188908,2,2,0,0,0,3,3,4,1,4,0
0.342566122,0.722528721,0.424594526,0.380264077,0.380892939,0.324860278,0.615544484,0.679970525,0.569254717,0.481776212,0,2,0,4,4,2,4,3,1,0,0
0.413213704,0.674229234,0.573849314,0.328103881,0.684382595,0.571724357,0.324678002,0.634656568,0.377082154,0.496663063,0,2,0,4,4,0,1,0,1,1,0
0.202461879,0.698798955,0.522084156,0.434139418,0.547159072,0.641680099,0.332389687,0.345999288,0.733512079,0.641968749,0,2,3,0,0,0,1,3,1,3,0
0.394410882,0.790865319,0.510571041,0.763897989,0.040478804,0.51350349,0.384427059,0.389833565,0.854509315,0.544500527,2,0,3,0,1,1,1,1,3,0,0
0.301546379,0.622572322,0.408285663,0.472788212,0.315179542,0.734738354,0.644392544,0.572445761,0.587179793,0.579310164,0,2,2,3,3,3,4,1,0,2,0
0.294419075,0.700974641,0.456555809,0.437232806,0.444677625,0.618399027,0.695410149,0.414559005,0.345813355,0.333153825,0,2,0,3,2,3,4,3,2,4,0
0.086632913,0.667275183,0.404514711,0.505679884,0.450169529,0.781215423,0.283500471,0.505596255,0.636986626,0.842338688,0,4,0,2,0,3,2,0,2,3,0
0.286516879,0.567296525,0.502251274,0.36318279,0.390914283,0.625756194,0.521968646,0.175657546,0.642072748,1,0,2,0,1,4,0,3,0,1,0,0
0.276087497,0.694743947,0.50142076,0.358895685,0.517185626,0.298933112,0.600405089,0.551728966,0.635846412,0.312631396,0,1,2,2,1,0,4,4,3,1,0
0.130187031,0.59613006,0.470120537,0.610357475,0.547173666,0.851639887,0.624359339,0.584031952,0.627846735,0.627823292,3,2,0,1,4,0,0,2,1,3,0
0.21337902,0.758465302,0.525427889,0.402153702,0.467754658,0.4149347,0.432405251,0.48809789,0.577179987,0.779156242,0,2,0,4,0,0,4,2,3,1,0
0.392549015,0.740287478,0.588666506,0.563814147,0.785953038,0.447030617,0.658567744,0.573973591,0.519389163,0.598138307,0,2,0,1,4,4,1,1,1,0,0
0.324697419,0.512167123,0.457445777,0.178435972,0.746571065,0.571791108,0.403501386,0.535934594,0.385519167,0.568138211,0,2,0,3,4,1,3,3,1,0,0
0.18496134,0.616812722,0.452186783,0.45874828,0.535084106,0.635548863,0.748631778,0.117867154,0.436224475,0.656082641,0,2,4,3,4,3,0,3,0,3,0
0.340054773,0.619346218,0.59030327,0.494423637,0.557806643,0.637164665,0.459639329,0.673471419,0.668788896,0.596597374,0,2,0,1,2,1,4,1,0,1,0
0.310220475,0.761377613,0.556669447,0.648225702,0.482921287,0.189133799,0.446097788,0.482181717,0.536691254,0.766392983,0,2,0,0,2,1,0,0,2,0,0
0.105871219,0.592042732,0.415388719,0.606022579,0.204715396,0.413257633,0.426300688,0.459809766,0.354877355,0.170893151,0,2,0,1,3,1,1,1,4,2,0
0.487957955,0.638186119,0.534975346,0.422544463,0.558433658,0.524168598,0.735037265,0.339909627,0.55540653,0.703760137,0,2,0,1,2,1,3,3,0,3,0
0.303114193,0.549425047,0.478271952,0.635537336,0.436447535,0.34951422,0.531381188,0.542708942,0.500773141,0.516345098,0,2,0,0,0,4,0,0,0,0,0
0.235306872,0.575582501,0.469761305,0.470965555,0.562539386,0.682183734,0.573295129,0.51583211,0.592662587,0.614500853,0,5,0,2,4,0,2,2,1,1,0
0.120119234,0.73080984,0.63846497,0.624716722,0.558532939,0.529522881,0.181459286,0.459642047,0.394971465,0.353118507,0,2,0,4,1,0,2,3,4,4,0
0.251986192,1,0.469769068,0.316303131,0.554853217,0.493684632,0.292662446,0.394952915,0.73587495,0.576403816,0,5,0,2,1,4,2,3,0,3,0
0.401020261,0.732946755,0.631038797,0.474637427,0.527626044,0.242761928,0.451654495,0.572662,0.311637238,0.46804663,0,2,1,3,3,4,4,4,4,0,0
0.213974923,0.651418753,0.559928799,0.449541966,0.415105764,0.468966275,0.482114204,0.559889143,1,0.163059467,2,2,0,1,3,0,2,2,4,2,0
0.314735494,0.565816944,0.463937532,0.296181387,0.600582059,0.414776262,0.335676592,0.537180992,0.536728529,0.419784797,0,2,0,1,4,4,4,1,2,4,0
0.385666492,0.609680759,0.552934006,0,0.448675026,0.71799923,0.637727659,0.55359669,0.631407151,0.721853334,0,2,0,2,4,4,1,3,2,1,0
0.225473327,0.637437714,0.413600962,0.61271254,0.410462525,0.304444785,0.286792873,0.558704871,0.509614252,0.49000898,0,2,0,0,4,0,2,2,0,1,0
0.274150791,0.584111079,0.522262913,0.502771902,0.393414302,0.391600702,0.504618595,0.374735351,0.638259491,0.468825348,0,1,0,1,2,3,0,0,0,4,0
0.283696545,0.8107446,0.451938511,0.25513161,0.460532064,0.563053097,0.520633271,0.437019554,0.543528696,0.653242641,3,2,0,2,4,1,4,3,1,3,0
